tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	country	location_begin_lon	er_location_name	location_end_lat	location_begin_lat	location_end_lon
Laurentia	Land Section	This study	North America	Canada	272.34	Simpson Island	48.7363	48.8122	272.30
>>>>>>>>>>
tab 	er_samples
sample_dip	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	er_location_name	sample_type	magic_method_codes	sample_azimuth	sample_lon	sample_class
-77	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.37	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	275.00	272.34	Igneous : Extrusive
-80	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.4	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	277.00	272.34	Igneous : Extrusive
-83	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.43	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	274.00	272.34	Igneous : Extrusive
-83	This study	Basalt	SI1(88.5 to 89.2)	SI1-88.55	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	221.00	272.34	Igneous : Extrusive
-84	This study	Basalt	SI1(88.5 to 89.2)	SI1-88.9	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	179.00	272.34	Igneous : Extrusive
-90	This study	Basalt	SI1(88.5 to 89.2)	SI1-88.93	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	173.00	272.34	Igneous : Extrusive
-92	This study	Basalt	SI1(88.5 to 89.2)	SI1-88.97	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	170.00	272.34	Igneous : Extrusive
-92	This study	Basalt	SI1(88.5 to 89.2)	SI1-89.0	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	171.00	272.34	Igneous : Extrusive
-87	This study	Basalt	SI1(88.5 to 89.2)	SI1-89.15	oriented core	48.8071	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	176.00	272.34	Igneous : Extrusive
-68	This study	Basalt	SI1(89.2 to 91.5)	SI1-89.25	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	250.00	272.34	Igneous : Extrusive
-87	This study	Basalt	SI1(89.2 to 91.5)	SI1-89.92	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	215.00	272.34	Igneous : Extrusive
-85	This study	Basalt	SI1(89.2 to 91.5)	SI1-90.0	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	215.00	272.34	Igneous : Extrusive
-97	This study	Basalt	SI1(89.2 to 91.5)	SI1-90.05	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	209.00	272.34	Igneous : Extrusive
-93	This study	Basalt	SI1(89.2 to 91.5)	SI1-91.1	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	332.00	272.34	Igneous : Extrusive
-85	This study	Basalt	SI1(89.2 to 91.5)	SI1-91.2	oriented core	48.807	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	259.00	272.34	Igneous : Extrusive
-77	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.6	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	239.00	272.34	Igneous : Extrusive
-86	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.61	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	262.00	272.34	Igneous : Extrusive
-59	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.64	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	252.00	272.34	Igneous : Extrusive
-68	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.67	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	242.00	272.34	Igneous : Extrusive
-60	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.7	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	250.00	272.34	Igneous : Extrusive
-31	This study	Basalt	SI1(91.5 to 92.6)	SI1-91.75	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	247.00	272.34	Igneous : Extrusive
-90	This study	Basalt	SI1(91.5 to 92.6)	SI1-92.0	oriented core	48.8069	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	163.00	272.34	Igneous : Extrusive
-29	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.57	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	194.00	272.34	Igneous : Extrusive
-20	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.6	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	201.00	272.34	Igneous : Extrusive
-40	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.64	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	209.00	272.34	Igneous : Extrusive
-47	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.67	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	188.00	272.34	Igneous : Extrusive
-33	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.7	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	255.00	272.34	Igneous : Extrusive
-43	This study	Basalt	SI1(94.3 to 94.9)	SI1-94.8	oriented core	48.8068	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	191.00	272.34	Igneous : Extrusive
-13	This study	Basalt	SI1(94.9 to 96.6)	SI1-95.0	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	11.00	272.34	Igneous : Extrusive
-13	This study	Basalt	SI1(94.9 to 96.6)	SI1-95	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	10.80	272.34	Igneous : Extrusive
-100	This study	Basalt	SI1(94.9 to 96.6)	SI1-96.0	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	294.00	272.34	Igneous : Extrusive
-95	This study	Basalt	SI1(94.9 to 96.6)	SI1-96.02	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	289.00	272.34	Igneous : Extrusive
-79	This study	Basalt	SI1(94.9 to 96.6)	SI1-96.04	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	282.00	272.34	Igneous : Extrusive
-86	This study	Basalt	SI1(94.9 to 96.6)	SI1-96.06	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	275.00	272.34	Igneous : Extrusive
-35	This study	Basalt	SI1(94.9 to 96.6)	SI1-96.1	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	320.00	272.34	Igneous : Extrusive
-100	This study	Basalt	SI1(94.9 to 96.6)	SI1-96	oriented core	48.8066	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	293.80	272.34	Igneous : Extrusive
-86	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.1	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	218.00	272.34	Igneous : Extrusive
-95	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.3	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	243.00	272.34	Igneous : Extrusive
-80	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.35	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	235.00	272.34	Igneous : Extrusive
-5	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.4	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	111.00	272.34	Igneous : Extrusive
-89	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.5	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	227.00	272.34	Igneous : Extrusive
-14	This study	Basalt	SI2a(1.1 to 1.6)	SI2a-1.6	oriented core	48.7943	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	230.00	272.34	Igneous : Extrusive
-66	This study	Basalt	SI2a(10.2 to 12.8)	SI2a-10.2	oriented core	48.7942	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	195.00	272.34	Igneous : Extrusive
-85	This study	Basalt	SI2a(10.2 to 12.8)	SI2a-10.4	oriented core	48.7942	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	181.00	272.34	Igneous : Extrusive
-108	This study	Basalt	SI2a(10.2 to 12.8)	SI2a-10.5	oriented core	48.7942	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	273.00	272.34	Igneous : Extrusive
-67	This study	Basalt	SI2a(10.2 to 12.8)	SI2a-12.2	oriented core	48.7942	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	278.00	272.34	Igneous : Extrusive
-60	This study	Basalt	SI2a(10.2 to 12.8)	SI2a-12.7	oriented core	48.7942	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	275.00	272.34	Igneous : Extrusive
